Nama_Sekolah;Provinsi;Kota_Kabupaten;Kecamatan;NPSN;Status;Bentuk_Pendidikan;Status_Kepemilikan;SK_Pendirian_Sekolah;Tanggal_SK_Pendirian;SK_Izin_Operasional;Tanggal_SK_Izin_Operasional;Kebutuhan_Khusus_Dilayani;Nama_Bank;Cabang_KCP_Unit;Rekening_Atas_Nama;Status_BOS;Waktu_Penyelenggaraan;Sertifikasi_ISO;Sumber_Listrik;Daya_Listrik;Kecepatan_Internet;Kepsek;Operator;Akreditasi;Kurikulum;Waktu;Alamat;RT_RW;Dusun;Desa_Kelurahan;Kode_Pos;Lintang;Bujur;Guru_L;Guru_P;Guru_Total;Tendik_L;Tendik_P;Tendik_Total;PTK_L;PTK_P;PTK_Total;Peserta_Didik_L;Peserta_Didik_P;Peserta_Didik_Total;Ruang_Kelas;Ruang_Perpus;Ruang_Lab;Ruang_Pratik;Rombel;
SD NEGERI BALIREJO;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403490;Negeri;SD;Pemerintah Daerah;422/2175;22/04/2022;422/2175;22/04/2022;C,D1,K,Q;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG  SENOPATI...;SDNEGERIBALIREJO/BOSNAS...;-;-;-;-;;;Daryanti Apriani;Rendi Ardianto;B;Kurikulum Merdeka;-;Jl. Balirejo no. 28;17-May;Balirejo;Muja Muju;55165;-7;110;5;6;11;1;3;4;6;9;15;78;62;140;6;1;2;0;6;
SD NEGERI GAMBIRAN;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403482;Negeri;SD;Pemerintah Daerah;22/04/2022;22/04/2022;422/2175;22/04/2022;Tidak ada;Bank BPD DIY;Senopati;SD NEGERI GAMBIRAN;-;-;-;-;;;Endang Widarti;;Tidak diisi;Kurikulum Merdeka;-;Jl. Perintis Kemerdekaan UH V/229 Yogyakarta;13 / 50;;Pandeyan;55161;-7;110;2;7;9;0;4;4;2;11;13;25;15;40;6;1;0;0;6;
SD NEGERI GIWANGAN;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403510;Negeri;SD;Pemerintah Daerah;422/2175;22/04/2022;422/2175;22/04/2022;B,C,C1,D,E,F,H,K,Q;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDNEGERIGIWANGAN/BOSNAS...;-;-;-;-;;;Nayu Maimunah;Eka Ratna Dewi;A;Kurikulum Merdeka;-;Jl. Tegalturi No 45;04-Nov;;Giwangan;55163;-7;110;7;14;21;4;3;7;11;17;28;188;142;330;12;1;2;0;12;
SD NEGERI GLAGAH;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403512;Negeri;SD;Pemerintah Daerah;420/5594B;28/12/1959;422/2175;22/04/2022;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDNEGERIGLAGAH/BOSNAS...;-;-;-;-;;;Agung Nurcahyo;NAUVAL ABDILLAH;A;Kurikulum Merdeka;-;Jl.  Prof. Dr. Soepomo, SH, Janturan, Umbulharjo;17 / 18;Janturan;Muja Muju;55165;-7;110;8;19;27;7;3;10;15;22;37;230;257;487;18;1;1;0;18;
SD NEGERI GOLO;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403513;Negeri;SD;Pemerintah Daerah;422/1070.35;07/02/2023;422/1070.35;07/02/2023;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDNEGERIGOLO/BOSNAS...;-;-;-;-;;;Argono;Lailatul Kadariyah;Tidak diisi;Kurikulum Merdeka;-;Jl. Golo Uh 3/ 855;39 / 9;-;Tahunan;55167;-7;110;5;10;15;2;3;5;7;13;20;105;98;203;12;1;1;0;10;
SD NEGERI KOTAGEDE 3 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403435;Negeri;SD;Pemerintah Daerah;2858/UH/2007;24/03/2007;442/2175;22/04/2022;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG  SENOPATI...;SDNEGERIKOTAGEDE3/BOSNAS...;-;-;-;-;;;Rumgayatri;RICO YUDA PERMANA PUTRA;Tidak diisi;Kurikulum Merdeka;-;Jl. Pramuka Sidikan Umbulharjo;0 / 0;Sidikan;Pandeyan;55161;-7;110;4;15;19;2;4;6;6;19;25;176;152;328;12;1;2;0;12;
SD NEGERI MENDUNGAN 1;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403426;Negeri;SD;Pemerintah Daerah;422/2175;22/04/2022;422/2175;22/04/2022;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDNEGERIMENDUNGAN1/BOSNAS...;-;-;-;-;;;Rumgayatri;HASNA ABIDAH ISMAWATI;A;Kurikulum Merdeka;-;Malangan UH VII/ 470;39 / 11;;Giwangan;55163;-7;110;5;5;10;1;2;3;6;7;13;48;30;78;6;1;2;0;6;
SD NEGERI MENDUNGAN 2;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403427;Negeri;SD;Pemerintah Daerah;No. 1 Kep 2006;01/02/1978;800/1446;07/02/2023;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG  SENOPATI...;SDNEGERIMENDUNGAN2/BOSNAS...;-;-;-;-;;;Siti Supriyanti;Sumarna;A;Kurikulum Merdeka;-;Jl. Singaranu 1 Ngaglik;34 / 12;Ngaglik;Giwangan;55163;-7;110;4;6;10;2;3;5;6;9;15;87;74;161;6;1;2;0;6;
SD NEGERI PAKEL;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403469;Negeri;SD;Pemerintah Pusat;;01/07/1955;-;01/01/1910;C,K;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDNEGERIPAKEL/BOSNAS...;-;-;-;-;;;Muryanto;Wahyu Nur Indah;A;Kurikulum Merdeka;-;Jl. Tritunggal No. 27;0 / 0;;SOROSUTAN;55162;-7;110;6;12;18;3;2;5;9;14;23;186;152;338;12;1;2;0;12;
SD NEGERI PANDEYAN;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403486;Negeri;SD;Pemerintah Daerah;175/Kep.2007;02/04/2002;175/KEP.2007;17/04/2017;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDNEGERIPANDEYAN/BOSNAS...;-;-;-;-;;;Siti Hindariyati;Tria Heryani;A;Kurikulum Merdeka;-;Jl. Batikan No 3 Pandeyan Umbulharjo;46 / 2;PANDEYAN;Pandeyan;55161;-7;110;2;9;11;1;3;4;3;12;15;46;36;82;6;1;0;0;6;
SD NEGERI TAHUNAN;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403185;Negeri;SD;Pemerintah Daerah;422/2175;22/04/2022;422/2175;22/04/2022;Tidak ada;BANK BPD;Senopati;SD N TAHUNAN;-;-;-;-;;;Siti Hindariyati;;A;Kurikulum Merdeka;-;Tahunan Umbulharjo Yogyakarta;14-Mar;Tahunan;Tahunan;55167;-7;110;6;14;20;1;3;4;7;17;24;161;164;325;12;1;2;0;12;
SD NEGERI WARUNGBOTO;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403225;Negeri;SD;Pemerintah Daerah;422/1079.14;07/02/2023;422/1079.14;07/02/2023;Tidak ada;BPD;Senopati, Yogyakarta;SD Warungboto;-;-;-;-;;;Endang Widarti;Septi Rahmiyatun;A;Kurikulum Merdeka;-;Jl. Prof. Dr. Soepomo, SH.No. 100 Yogyakarta;31-Aug;;Warungboto;55164;-7;110;3;6;9;2;2;4;5;8;13;47;43;90;6;1;0;0;6;
SD NEGERI WIROSABAN;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403216;Negeri;SD;Pemerintah Daerah;422/2175;22/04/2022;422/2175;22/04/2022;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDNEGERIWIROSABAN/BOSNAS...;-;-;-;-;;;Muryanto;ELIS EPI SOPIA;B;Kurikulum Merdeka;-;Jl. Pangeran Wirosobo UH VI /609 Yogyakarta;0 / 0;Sorosutan;Sorosutan;55162;-7;110;5;6;11;3;1;4;8;7;15;58;45;103;6;1;0;0;6;
SD ISLAM TERPADU AL KHAIRAAT YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403410;Swasta;SD;Yayasan;1/YPDS/11/2002;02/02/2002;180/DIKDAS/4571;15/08/2012;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDITAL-KHAIRAAT/BOSNAS...;-;-;-;-;;;Rojikin;Ismi Ambarwati;A;Kurikulum Merdeka;-;Jl. Pramuka Gg. Radjiman Uh V/627 Yogyakarta;26-Jul;Sidikan;Pandeyan;55161;-7;110;5;12;17;3;5;8;8;17;25;196;170;366;8;1;1;0;14;
SD ISLAM TERPADU LUQMAN AL HAKIM;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403412;Swasta;SD;Yayasan;Akta Notaris Umar Syamhudi;01/01/1910;SK GUBERNUR NO.180/KPTS/1997;01/07/1997;Tidak ada;BPD DIY;cabang;SDIT LUKMAN AL HAKIM ( BOSNAS );-;-;-;-;;;Sumardi;Nur Ichsan;A;Kurikulum Merdeka;-;Jalan Timoho II Gang Delima No 2 Yogyakarta;03-Jan;;Muja Muju;55165;-7;110;13;24;37;7;3;10;20;27;47;287;248;535;24;1;3;0;21;
